image,title,rating,description,ingredients,total time
https://pinchofyum.com/wp-content/uploads/Italian-Salad-1-Square-183x183.jpg,Big Yummy Italian Salad,4.2,"I love a big Italian salad! Crisp romaine, salty salami and cheese, briney pepperoncini, and toasty garlic breadcrumbs. YUM!",pepperoncini italian season romain lettuc panko red onion chees provolon salami garlic powder pepperoncini brine parmesan chees,15 minutes
https://pinchofyum.com/wp-content/uploads/Crispy-Rice-Salad-1-Square-183x183.jpg,Crispy Rice Salad with Cucumbers and Herbs,4,"Paper-thin veggies, a shower of herbs, a pile of fried crispy red curry rice, and a limey garlicky vinaigrette all over top. This crispy rice salad is all I want to eat right now!",cornstarch cucumb jasmin rice ginger garlic brown sugar fish sauc lime juic shallot chili crisp cilantro red curri past peanut mint,30 minutes
https://pinchofyum.com/wp-content/uploads/Gochujang-Sauce-1-2-Square-183x183.jpg,Incredible Gochujang Sauce,4.3,"This delightful, creamy, silky, incredible gochujang sauce is what I put on everything! Dipped with chicken, drizzled on a bowl, tossed in a salad – perfect in every way.",rice vinegar garlic soy sauc mayo gochujang sauc,5 minutes
https://pinchofyum.com/wp-content/uploads/Air-Fryer-Salmon-2-Square-183x183.jpg,Ridiculously Good Air Fryer Salmon,4.1,"This air fryer salmon is TOO GOOD. Crisped and golden on the outside, buttery and juicy on the inside, and made in 15 minutes start to finish.",cornstarch chili powder brown sugar onion powder paprika garlic powder salmon,13 minutes
https://pinchofyum.com/wp-content/uploads/Two-Giant-Cookies-2-1024x1536-Square-183x183.jpg,Two Huge Chocolate Chip Cookies,4,"Just two chocolate chip cookies – lightly crisp around the edge, and dense and buttery through the middle. They are thick enough to sink your teeth into and just really, really good.",cornstarch allpurpos flour brown sugar white sugar egg yolk chocol chip vanilla bake soda butter,15 minutes
https://pinchofyum.com/wp-content/uploads/Marry-Me-Chicken-6-Square-183x183.jpg,Marry Me Chicken,4.5,"Golden, juicy chicken coated in a simple creamy sauce with tomatoes, garlic, and thyme. I like it with mashed potatoes and a salad! This is just so good.",cream thyme garlic chicken tomato chicken broth butter tomato past,40 minutes
https://pinchofyum.com/wp-content/uploads/Crispy-Air-Fryer-Tofu-Square-183x183.jpg,Ridiculously Good Air Fryer Tofu,4.2,"The crispiest air fryer tofu – in 15 minutes! Extremely easy, incredibly versatile, and an absolute weeknight go-to.",cornstarch nutrit yeast tofu sauc soy sauc allpurpos spice,20 minutes
https://pinchofyum.com/wp-content/uploads/Baked-Tortellini-1-square-183x183.jpg,Baked Tortellini with Sausage,4.3,,celeri babi spinach mozzarella chees italian sausag garlic bread parsley garlic chees tortellini carrot tomato sauc tomato fennel seed yellow onion chicken broth parmesan,40 minutes
https://pinchofyum.com/wp-content/uploads/Butter-Cauliflower-and-Chickpeas-1-Square-183x183.jpg,Butter Cauliflower and Chickpeas with Mint Cilantro Sauce,4.1,"This Butter Cauliflower and Chickpeas is a weeknight staple! Roasty spiced cauliflower, a jar of butter sauce, a can of chickpeas, and a pile of steamy rice with a waterfall of mint sauce on top.",cumin cauliflow jalapeo chickpea garlic butter chicken sauc juic lime mayo plain greek yogurt paprika cilantro mint,40 minutes
https://pinchofyum.com/wp-content/uploads/Sesame-Butter-Noodles-1-Square-183x183.jpg,Shortcut Sesame Butter Noodles,4.2,"One of my favorite back-pocket recipes! Packaged noodles for ease, butter for creaminess, honey for sweetness, and sesame oil for depth. Just tangly slips of joy!",green onion sauci noodl momofuku soy soy scallion honey butter,12 minutes
https://pinchofyum.com/wp-content/uploads/Chicken-Bowls-1-3-183x183.jpg,Banza Chicken Bowls with Calabrian Chili Sauce,4.4,"This bowl has it all! The crunch of the tomato cucumber salad, the thin slips of bitey red onion, the golden crisped air fryer chicken cut into tender little strips, a big pile of perfectly chewy Banza, and a dollop of tangy calabrian chile sauce on top.",white vinegar cucumb cherri tomato parsley calabrian chile garlic oliv brine red onion carb protein mayo greek yogurt,35 minutes
https://pinchofyum.com/wp-content/uploads/Air-Fryer-Chicken-9-Square-183x183.jpg,Ridiculously Good Air Fryer Chicken Breast,4.5,"My go-to everyday air fryer chicken breast! Thinly sliced chicken breast pieces, coated to the max in spices, plus a bit of brown sugar and cornstarch, and air fried to golden, juicy perfection.",cornstarch brown sugar onion powder paprika garlic powder boneless skinless chicken breast,20 minutes
https://pinchofyum.com/wp-content/uploads/White-Chicken-Chili-7-Square-183x183.jpg,Super Creamy White Chicken Chili with Seasoned Tots,4.3,"Chicken, white beans, and green chiles folded up in a creamy soup blanket and topped with golden, crispity seasoned tots. WOW. Top combo.",cream cumin cilantro green onion white bean oregano garlic sour cream yellow onion chicken broth season tator tot hot sauc green chile,30 minutes
https://pinchofyum.com/wp-content/uploads/Mushroom-Sandwich-9-960x706-1-Square-183x183.jpg,Roasted Mushroom Sandwich with Horseradish Aioli,4,"Layers of roasty mushrooms, havarti, lemony arugula, and an easy homemade horseradish aioli make this mushroom sandwich a WINNER. A saucy, salty, hefty masterpiece!",horseradish sauc havarti chees honk bread realli garlic cajun season pesto rosso mayo mushroom lemon juic,40 minutes
